"time","T_Out_ext","T_amb_ext","u_ext"
549.5,23.5171,20,1
550,23.5168,20,1
550.5,23.5164,20,1
551,23.516,20,1
551.5,23.5157,20,1
552,23.5154,20,1
552.5,23.515,20,1
553,23.5147,20,1
553.5,23.5144,20,1
554,23.5141,20,1
554.5,23.5138,20,1
555,23.5135,20,1
555.5,23.5132,20,1
556,23.5129,20,1
556.5,23.5126,20,1
557,23.5123,20,1
557.5,23.5121,20,1
558,23.5118,20,1
558.5,23.5115,20,1
559,23.5113,20,1
559.5,23.511,20,1
560,23.5108,20,1
560.5,23.5106,20,1
561,23.5103,20,1
561.5,23.5101,20,1
562,23.5099,20,1
562.5,23.5097,20,1
563,23.5095,20,1
563.5,23.5093,20,1
564,23.5091,20,1
564.5,23.5089,20,1
565,23.5087,20,1
565.5,23.5085,20,1
566,23.5083,20,1
566.5,23.5081,20,1
567,23.5079,20,1
567.5,23.5078,20,1
568,23.5076,20,1
568.5,23.5074,20,1
569,23.5073,20,1
569.5,23.5071,20,1
570,23.507,20,1
570.5,23.5068,20,1
571,23.5067,20,1
571.5,23.5065,20,1
572,23.5064,20,1
572.5,23.5062,20,1
573,23.5061,20,1
573.5,23.506,20,1
574,23.5058,20,1
574.5,23.5057,20,1
575,23.5056,20,1
575.5,23.5055,20,1
576,23.5053,20,1
576.5,23.5052,20,1
577,23.5051,20,1
577.5,23.505,20,1
578,23.5049,20,1
578.5,23.5048,20,1
